Småhus;Boligblokk;Næringsbygg_mindre;Næringsbygg_større
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000393769;0.000464904;0.000560673;0.000672808
0.000857414;0.000991354;0.001174016;0.001408819
0.003329116;0.003252164;0.003224348;0.003869218
0.001778295;0.002017661;0.002349064;0.002818877
0.000616303;0.000720812;0.000862274;0.001034728
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000393769;0.000464904;0.000560673;0.000672808
0.000857414;0.000991354;0.001174016;0.001408819
0.003329116;0.003252164;0.003224348;0.003869218
0.001778295;0.002017661;0.002349064;0.002818877
0.000616303;0.000720812;0.000862274;0.001034728
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000393769;0.000464904;0.000560673;0.000672808
0.000857414;0.000991354;0.001174016;0.001408819
0.003329116;0.003252164;0.003224348;0.003869218
0.001778295;0.002017661;0.002349064;0.002818877
0.000616303;0.000720812;0.000862274;0.001034728
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000393769;0.000464904;0.000560673;0.000672808
0.000857414;0.000991354;0.001174016;0.001408819
0.003329116;0.003252164;0.003224348;0.003869218
0.001778295;0.002017661;0.002349064;0.002818877
0.000616303;0.000720812;0.000862274;0.001034728
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000393769;0.000464904;0.000560673;0.000672808
